epoch;training accuracy;training loss;training error;validation accuracy;validation loss;validation error;learning rate;time;test accuracy;test loss;test error
1;0.2845;1.7991;1.5777;0.355;1.7516;1.5152;0.001;2611;;;
2;0.3473;2.1093;1.6474;0.363;1.7198;1.5039;0.001;6165;;;
3;0.3807;1.5476;1.4051;0.3739;1.6873;1.4913;0.001;8724;;;
4;0.3902;1.7103;1.4958;0.3904;1.6616;1.4779;0.001;11274;;;
5;0.4196;1.6942;1.3886;0.4178;1.6396;1.4585;0.001;49109;;;
6;0.4384;1.5985;1.4107;0.4333;1.6263;1.4411;0.001;51663;;;
7;0.4353;1.5204;1.3076;0.4488;1.5965;1.4163;0.001;54218;;;
8;0.4518;1.3859;1.2897;0.46;1.5623;1.387;0.001;56774;;;
9;0.4417;1.8749;1.4705;0.4708;1.525;1.3534;0.001;59481;;;
10;0.444;1.6823;1.3967;0.4925;1.4684;1.3194;0.001;65861;0.501;1.4532;1.3102
