epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.3797,1.6050,1.4556,0.4852,1.4558,1.3120,0.0010000,407,,,
2,0.4537,1.5287,1.3594,0.4962,1.4217,1.2979,0.0010000,803,,,
3,0.4961,1.3818,1.2111,0.5113,1.3822,1.2755,0.0010000,1190,,,
4,0.5230,1.4475,1.2483,0.5290,1.3405,1.2498,0.0010000,1576,,,
5,0.5410,1.4279,1.2477,0.5476,1.2967,1.2221,0.0010000,1962,,,
6,0.5606,1.1998,1.1159,0.5667,1.2461,1.1898,0.0010000,2348,,,
7,0.5657,1.2252,1.1697,0.5867,1.1913,1.1518,0.0010000,2733,,,
8,0.5745,0.9420,0.9737,0.6069,1.1374,1.1098,0.0010000,3120,,,
9,0.5801,1.2464,1.1067,0.6266,1.0812,1.0650,0.0010000,3508,,,
10,0.5908,1.2548,1.1132,0.6468,1.0283,1.0159,0.0010000,4790,0.6437,1.0337,1.0146
